名称,,名称のルビ,郵便番号,カテゴリ,住所,緯度,経度,電話番号,説明文,営業時間,定休日,URL,バリアフリー対応,wikidata-link
長田神社,,,'6530812,'2418,神戸市長田区長田町3-1-1,34.671315,135.146643,078-691-0333,"商工業や産業の護り神として崇敬される御祭神「事代主大神」をお祀りし、地元の人々に「長田さん」の愛称で親しまれる長田神社。2001年で御鎮座1,800年を迎え、室町時代から続く古式「追儺式神事」(県指定無形文化遺産)、楠宮稲荷社裏の大楠の御神木、病気平癒や痔のご利益でも有名です。",開門・閉門　(4月～9月)5:00～18:00 / (10月～3月) 6:00～18:00  授与所　9:00～16:00,なし,mnagatajinja.jp/html,一部対応,
ノエビアスタジアム神戸,,,'6520855,'2418,神戸市兵庫区御崎町1-2-2,34.656671,135.169661,078-652-5656,ノエビアスタジアム神戸は、2002FIFAワールドカップ(TM)を機に完成した球技専用のスタジアムです。ヴィッセル神戸、INAC神戸レオネッサ、神戸製鋼コベルコスティラーズのホームスタジアムとして、サッカーやラグビーの数々の名勝負が繰り広げられてきました。観客席からピッチまでの距離が近く、臨場感あるスポーツ観戦が楽しめます。スタジアムには開閉式の屋根があり、天候に左右されず利用が可能。その為歌謡ショー、寄席、式典、様々な利用が可能です。,イベント・施設によって異なる,木,http://www.noevir-stadium.jp/,,
シューズプラザ,,くつのまちながた　しゅーずぷらざ,'6530835,'2418,神戸市長田区細田町7-1-9,34.659204,135.144593,078-646-5266,シューズプラザは、ケミカルシューズ発祥の地『くつのまちながた』のシンボル的な地域活性化拠点施設。長田の靴をメーカー直送で販売する「いい靴がいつでも安い」直営ショップのほか、足元から健康づくりやオーダーメイドの靴も取り扱う神戸長田周辺の人気スポットです。自分の足にぴったりな「お気に入りの一足」を見つけに、ぜひご来館ください。,10:00～19:00,水,http://www.shoesplaza.co.jp/,有（車椅子使用者利用トイレなど）,
孫文記念館(移情閣),,,'6550047,'2419,神戸市垂水区東舞子町2051,34.630962,135.034204,078-783-7172,歴史好きにはぜひ訪れて欲しいスポット。孫文記念館(移情閣)は、中国の革命家・政治家・思想家である孫文を顕彰する日本で唯一の施設です。日本と孫文、神戸と孫文の関わりについて紹介し、貴重な孫文直筆の書も展示しています。大正モダンの情緒あふれる移情閣は、明石海峡大橋を背景にした優美な外観だけでなく、贅を凝らした内装も必見です。八角三層の楼閣は日本最古の木骨コンクリートブロック建築で国と県の重要文化財に指定されています。,火～日　10:00～17:00(最終入館 　閉館30分前),月(祝日の場合は翌日休館),,,
橋の科学館,,,'6550047,'2419,神戸市垂水区東舞子町4-114,34.631623,135.032673,078-784-3339,橋の科学館では、明石海峡大橋をはじめとする本州四国架橋の建設に使われた最高水準の橋梁架橋技術を一堂に集め、わかりやすく紹介したサイエンスミュージアムです。3D立体映像シアターでは、最高水準の技術を迫力の3D映像で放映。くつろぎのスペースでは、雄大な明石海峡大橋や淡路島の景色をゆったりと眺めることができます。,9:15～17:00 / 【7/20～8/31】9:15～18:00 / 【12/1～2/28】9:15～16:30　※最終入館 閉館30分前,毎週月曜日（祝日の場合は開館し、翌日休）、12/29～1/3　※ゴールデンウィーク、7/20～8/31は無休,http://www.hashinokagakukan.jp/,車椅子無料貸し出し、身障者用トイレ、入口スロープあり,
舞子海上プロムナード,,,'6550047,'2419,神戸市垂水区東舞子町2051,34.630752,135.032979,078-785-5090,世界有数のつり橋「明石海峡大橋」の神戸市側に開設された舞子海上プロムナードは、海面からの高さ約47m、陸地から明石海峡へ約150m突出した延長約317mの回遊式遊歩道です。 海上47メートルの丸木橋は迫力満点!プロムナード入口1階には明石海峡大橋をわかりやすく解説した資料を展示し、8階展望ラウンジの展望カメラシステムでは、明石海峡大橋の主塔(約300m)にのぼった気分が味わえます。雄大な明石海峡大橋を眺めながら、海上遊歩道の散歩をゆっくりお楽しみください。,(通年) 9:30～18:00 / (ゴールデンウィーク・夏休み)9:30～19:00,8~9月無休 10~3月第2月曜日(祝日の場合は翌日),http://www.hyogo-park.or.jp/maiko/,,
神戸フルーツ・フラワーパーク,,,'6511522,'2420,神戸市北区大沢町上大沢2150,34.845773,135.191766,078-954-1010,神戸フルーツ・フラワーパークは北神戸の豊かな自然の中で中世ヨーロッパのルネッサンス様式の美しい建物や庭園を中心に数多くの施設が点在する「花と果実のテーマパーク」です。四季折々の花が咲き、夏から秋にかけてフルーツ狩りも楽しむことができます。園内には遊園地やバーベキュー場、源泉かけ流し(加温)天然温泉、ホテルなどがありますので家族でゆっくり自然を楽しみたい方にはおすすめです。,9:00～17:00 ※施設により異なる,施設により異なる,http://fruit-flowerpark.jp/,,
キリンビール神戸工場,,,'6511516,'2420,神戸市北区赤松台2-1-1,34.878487,135.17855,078-986-8001,キリンビール神戸工場では、ブルワリーツアーガイドの案内でビールの製造工程が楽しく学べます。工場見学のあとは、できたてビールの試飲をどうぞ!(見学は事前予約制、必ずHP又はお電話でご予約ください)隣接する「丘の上のビアレストラン」では、樽生ビールにぴったりな、地元食材を使用した味わいグルメも楽しめます。また、キリンビール神戸工場では環境への取り組みにも力を入れ、野性の動植物たちの一時的な避難場所となる「ビオトープ」を整備しています。カワバタモロコなど絶滅危惧種の保護・育成に取り組み、環境ツアーなども随時開催しています。,9:20～17:00 (工場見学:毎時00分/ 10分/ 30分/ 40分/ 最終ツアー15:40～),月(但し祝日の場合は開館),http://www.kirin.co.jp/entertainment/factory/kobe/,,
有馬玩具博物館,,,'6511401,'2421,神戸市北区有馬町797,34.797043,135.247874,078-903-6971,有馬玩具博物館には、豊かな発想とデザイン性に優れた良質なおもちゃが、国内外から集められています。約4000点のコレクションを、3階から6階までの展示室でテーマごとに紹介。5階のプレイスペースでは、木のおもちゃやゲームを実際に触って遊ぶことができます。博物館は、入館当日に限り終日出入りが自由です。気に入ったおもちゃを見つけたら、何度でも楽しんでいただけます。,9:30～18:00(最終入館17:30),不定休(お問い合わせください),http://www.arima-toys.jp/,,
切手文化博物館,,,'6511401,'2421,神戸市北区有馬町663-3,34.798766,135.250943,078-904-0024,切手文化博物館は、郵便創業時から現代まで140余年の間に発行された普通切手・記念切手等を網羅した、切手の常設博物館です。日本最初の切手「龍文切手」や、日本切手の中で最も貴重な「手彫切手」、明治時代に実際の郵便作業に用いられた品々など、ユニークなコレクションの数々を展示。期間限定の特別展も随時開催され、江戸時代の趣ある「土蔵造り」の館内で、切手や郵便文化の奥深い魅力を楽しめます。,10:00～16:00　(入館は15:30まで),火(祝日の場合は翌日),http://www.kitte-museum-arima.jp/,あり,
有馬本温泉　金の湯,,,'6511401,'2421,神戸市北区有馬町833,34.796785,135.247864,078-904-0680,有馬の名物湯・金泉が楽しめる外湯で、古来から由緒ある元湯として歴史を刻んできた名湯が堪能できます。有馬ファンの方はぜひ、平日回数券(11枚綴り￥5500)をご利用ください。(土日祝日は差額￥100をプラスして利用できます)。毎月第2水曜日はレディースデイ(対象:大人女性)、第4水曜日はシルバーデイ(対象:65歳以上、証明書要)で、対象の方は入浴料金半額のうれしいサービスがあります。,8:00～22:00(入館は21:30まで),第2・4火 / 1月1日,,,
有馬温泉 太閤の湯,,,'6511401,'2421,神戸市北区有馬町池の尻292-2,34.797891,135.251318,078-904-2291,"7,000㎡の敷地面積を誇る有馬最大の日帰り入浴施設。当地ゆかりの武将、太閤秀吉が愛用した蒸し風呂や岩風呂を復元したものなど男女あわせて26種ものお風呂と岩盤浴で日本三大名湯が楽しめます。湯上りにはレストランやフードコートでグルメを満喫。ボディケアやあかすりなど癒しのメニューも充実しています。タオルセットと館内着付なので手ぶらで気軽に立ち寄れます。",10:00～23:00(最終受付22:00),不定休につき詳細はお問い合わせください,www.taikounoyu.com,2016年3月1日現在 出来ておりません,
有馬ます池,,,'6511401,'2421,神戸市北区有馬町1688-2,34.790972,135.244591,078-904-0309,手ぶらで訪れて気軽にニジマス（子マス）釣りが楽しめるフィッシングスポット。料理とのセット営業で、園内にある「ますの茶屋」でカラアゲ、塩焼きをご賞味いただけます。エサは団子状のネリエサで、女の子にも安心。童心にかえったデートを楽しむカップルや、食欲旺盛で食いつきの良いニジマスを相手に、はじめての釣り体験に挑戦のファミリーに人気です。夏季はつかみどりイベントを実施。,9:00～17:00(入園は16時までに),水・木(12月から2月は水・木・金)　※祝日は営業し、後日休園します。※春・夏休み、GWは無休。,http://www.shintetsu.co.jp/kanko/masuike/,,
御祖師庵,,,'6511401,'2421,神戸市北区有馬町1643,34.795808,135.248186,078-904-0650,僧行基が開祖の名刹温泉寺の境内にある資料館。寺の由来や温泉の歴史を紹介しています。,9:00～16:30,年中無休(寺院の法要時休館となる場合あり),,なし,
